"hubs$vector";"Phyto"
1;"Chaetoceros"
0,980725357489185;"Pseudo-nitzschia"
0,864611781191809;"Leptocylindrus"
0,841150261862624;"Dactyliosolen"
0,681688414584107;"Scrippsiella"
0,631549745706002;"Skeletonema"
0,53359721093107;"Thalassionema"
0,501629249457116;"Gyrodinium"
0,47819648330071;"Pleurosigma"
0,467316593994558;"Cylindrotheca"
0,451104502971966;"Prorocentrum"
0,371341269744647;"Gymnodinium"
0,277866953466882;"Nitzschia"
0,103559448970807;"Navicula"
0,0942635991307323;"Dictyocha"
0,0596179119915692;"Cocconeis"
0,0530785970875583;"Cryptophyceae.x"
0,0405940883645438;"Licmophora"
